Month,ET,Year,MonthYr,ETAvg
June,27.85,2020,June 2020,28.768421052631577
July,29.166666666666668,2020,July 2020,30.563461538461542
August,41.625,2020,August 2020,30.81126760563381
September,26.900000000000002,2020,September 2020,27.387096774193555
October,20.166666666666668,2020,October 2020,23.242105263157903
November,16.5,2020,November 2020,19.821212121212117
December,18.900000000000002,2020,December 2020,17.00882352941176
January,19.150000000000002,2021,January 2021,19.61298701298701
February,21.0,2021,February 2021,20.280882352941184
March,19.25,2021,March 2021,21.397959183673464
April,18.700000000000003,2021,April 2021,23.482222222222234
May,22.35,2021,May 2021,25.135384615384602
